GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
s0,edu.brown.cs.student.main,Main,64,0,0,0,17,0,3,0,3,0
s0,edu.brown.cs.student.main.Broadband,RealBBSource,25,361,1,19,10,75,2,13,1,4
s0,edu.brown.cs.student.main.Broadband,BroadbandData,3,9,0,0,1,3,1,2,1,2
s0,edu.brown.cs.student.main.Broadband,StateAndCounty,6,15,0,0,0,2,2,2,2,2
s0,edu.brown.cs.student.main.CSV,Creator,0,5,0,0,0,2,0,2,0,2
s0,edu.brown.cs.student.main.CSV,CSVData.CSVRowCreator,0,2,0,0,0,1,0,1,0,1
s0,edu.brown.cs.student.main.CSV,Searcher,0,255,0,16,0,57,0,17,0,9
s0,edu.brown.cs.student.main.CSV,CSVData,0,31,0,0,0,9,0,4,0,4
s0,edu.brown.cs.student.main.CSV,Parser,6,66,0,2,2,17,0,4,0,3
s0,edu.brown.cs.student.main.Exceptions,DatasourceException,14,0,0,0,6,0,2,0,2,0
s0,edu.brown.cs.student.main.Exceptions,FactoryFailureException,10,0,0,0,3,0,1,0,1,0
s0,edu.brown.cs.student.main.Handlers,LoadHandler,14,44,4,4,2,9,4,2,0,2
s0,edu.brown.cs.student.main.Handlers,LoadHandler.FailureResponse,54,0,0,0,9,0,3,0,3,0
s0,edu.brown.cs.student.main.Handlers,SearchHandler,19,105,4,8,4,23,4,4,0,2
s0,edu.brown.cs.student.main.Handlers,SearchHandler.FailureResponse,20,0,0,0,3,0,3,0,3,0
s0,edu.brown.cs.student.main.Handlers,ViewHandler.SuccessResponse,24,47,0,0,5,8,1,2,1,2
s0,edu.brown.cs.student.main.Handlers,BroadbandHandler.SuccessResponse,33,77,0,0,5,11,4,2,4,2
s0,edu.brown.cs.student.main.Handlers,LoadHandler.SuccessResponse,24,47,0,0,5,8,1,2,1,2
s0,edu.brown.cs.student.main.Handlers,ViewHandler,17,30,2,2,3,7,2,2,0,2
s0,edu.brown.cs.student.main.Handlers,BroadbandHandler,0,60,0,0,0,14,0,2,0,2
s0,edu.brown.cs.student.main.Handlers,BroadbandHandler.FailureResponse,0,43,0,0,0,8,0,2,0,2
s0,edu.brown.cs.student.main.Handlers,SearchHandler.SuccessResponse,5,22,0,0,3,5,0,3,0,3
s0,edu.brown.cs.student.main.Handlers,ViewHandler.FailureResponse,49,0,0,0,8,0,3,0,3,0
